Byte-for-byte diff: model00.bin
Input length: 5418, Output length: 5310
Changed bytes: 37

First 37 changes:
Offset    Before  After
─────────────────────────
0x0008  0x1a     0xae
0x0009  0x15     0x14
0x000e  0x1f     0xfa
0x000f  0x90     0x8c
0x0f45  0xee     0x20
0x0f46  0x02     0x03
0x0fc6  0x26     0x58
0x138e  0x01     0x00
0x13d6  0x01     0x00
0x1414  0x01     0x00
0x1498  0x64     0x00
0x1499  0x65     0x00
0x149a  0x76     0x00
0x149b  0x6d     0x00
0x149c  0x6f     0x00
0x149d  0x6e     0x00
0x149e  0x31     0x00
0x14a0  0x6c     0x00
0x14a2  0x02     0x00
0x14a3  0x07     0x00
0x14a5  0x00     0x50
0x14a6  0x00     0x55
0x14a7  0x02     0x01
0x14a8  0xff     0x00
0x14a9  0xff     0x00
0x14aa  0xff     0x00
0x14ab  0xff     0x00
0x14ac  0x02     0x04
0x14ad  0x08     0x00
0x14b1  0x02     0xa1
0x14b2  0x01     0x00
0x14b4  0x00     0x04
0x14b6  0x02     0x00
0x14b7  0x04     0x00
0x14ba  0x00     0x1d
0x14bb  0x02     0x04
0x14bc  0x01     0x6e
